I (878) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:269, [2]:389, [3]:463, [4]:590, [5]:459, [6]:256, [7]:682, [8]:0, [9]:0
I (888) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:338, [1]:264, [2]:385, [3]:520, [4]:526, [5]:548, [6]:1011, [7]:668, [8]:0, [9]:0
I (898) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:333, [1]:284, [2]:383, [3]:516, [4]:776, [5]:749, [6]:418, [7]:667, [8]:0, [9]:0
I (908) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:328, [1]:259, [2]:385, [3]:526, [4]:637, [5]:928, [6]:561, [7]:693, [8]:0, [9]:0
I (928) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:342, [1]:268, [2]:381, [3]:776, [4]:844, [5]:948, [6]:338, [7]:673, [8]:0, [9]:0
I (938) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:329, [1]:290, [2]:398, [3]:262, [4]:533, [5]:397, [6]:654, [7]:653, [8]:0, [9]:0
I (948) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:328, [1]:289, [2]:379, [3]:777, [4]:1003, [5]:758, [6]:499, [7]:709, [8]:0, [9]:0
I (958) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:332, [1]:266, [2]:391, [3]:305, [4]:853, [5]:848, [6]:458, [7]:681, [8]:0, [9]:0
I (968) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:330, [1]:266, [2]:389, [3]:315, [4]:963, [5]:813, [6]:357, [7]:683, [8]:0, [9]:0
I (978) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:333, [1]:257, [2]:385, [3]:295, [4]:317, [5]:771, [6]:868, [7]:664, [8]:0, [9]:0
I (998) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:331, [1]:264, [2]:379, [3]:852, [4]:1049, [5]:540, [6]:366, [7]:663, [8]:0, [9]:0
I (1008) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:293, [2]:383, [3]:280, [4]:531, [5]:249, [6]:403, [7]:644, [8]:0, [9]:0
I (1018) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:330, [1]:262, [2]:389, [3]:630, [4]:658, [5]:672, [6]:1028, [7]:681, [8]:0, [9]:0
I (1028) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:336, [1]:265, [2]:377, [3]:756, [4]:896, [5]:991, [6]:523, [7]:649, [8]:0, [9]:0
I (1038) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:339, [1]:262, [2]:390, [3]:942, [4]:447, [5]:693, [6]:948, [7]:664, [8]:0, [9]:0
I (1048) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:343, [1]:293, [2]:391, [3]:255, [4]:1007, [5]:601, [6]:760, [7]:683, [8]:0, [9]:0
I (1068) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:340, [1]:265, [2]:385, [3]:326, [4]:807, [5]:432, [6]:470, [7]:671, [8]:0, [9]:0
I (1078) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:337, [1]:260, [2]:392, [3]:543, [4]:723, [5]:729, [6]:511, [7]:664, [8]:0, [9]:0
I (1088) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:336, [1]:293, [2]:383, [3]:256, [4]:255, [5]:729, [6]:320, [7]:662, [8]:0, [9]:0
I (1098) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:340, [1]:295, [2]:388, [3]:422, [4]:304, [5]:539, [6]:797, [7]:706, [8]:0, [9]:0
I (1108) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:332, [1]:290, [2]:392, [3]:361, [4]:800, [5]:1038, [6]:680, [7]:669, [8]:0, [9]:0
I (1118) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:326, [1]:286, [2]:379, [3]:908, [4]:973, [5]:760, [6]:237, [7]:640, [8]:0, [9]:0
I (1138) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:332, [1]:262, [2]:388, [3]:516, [4]:1004, [5]:300, [6]:460, [7]:674, [8]:0, [9]:0
I (1148) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:337, [1]:286, [2]:376, [3]:854, [4]:320, [5]:333, [6]:395, [7]:671, [8]:0, [9]:0
I (1158) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:336, [1]:294, [2]:391, [3]:300, [4]:733, [5]:509, [6]:1006, [7]:669, [8]:0, [9]:0
I (1168) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:332, [1]:289, [2]:383, [3]:552, [4]:405, [5]:275, [6]:456, [7]:672, [8]:0, [9]:0
I (1178) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:286, [2]:382, [3]:747, [4]:364, [5]:768, [6]:679, [7]:664, [8]:0, [9]:0
I (1188) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:350, [1]:297, [2]:386, [3]:1007, [4]:281, [5]:653, [6]:710, [7]:718, [8]:0, [9]:0
I (1208) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:333, [1]:264, [2]:383, [3]:629, [4]:655, [5]:935, [6]:298, [7]:687, [8]:0, [9]:0
I (1218) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:341, [1]:290, [2]:391, [3]:440, [4]:633, [5]:409, [6]:307, [7]:691, [8]:0, [9]:0
I (1228) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:336, [1]:290, [2]:380, [3]:986, [4]:580, [5]:753, [6]:551, [7]:685, [8]:0, [9]:0
I (1238) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:339, [1]:270, [2]:382, [3]:830, [4]:624, [5]:760, [6]:552, [7]:684, [8]:0, [9]:0
I (1248) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:341, [1]:267, [2]:394, [3]:830, [4]:726, [5]:250, [6]:556, [7]:685, [8]:0, [9]:0
I (1258) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:262, [2]:381, [3]:878, [4]:381, [5]:432, [6]:391, [7]:696, [8]:0, [9]:0
I (1278) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:343, [1]:271, [2]:381, [3]:991, [4]:278, [5]:319, [6]:742, [7]:673, [8]:0, [9]:0
I (1288) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:325, [1]:286, [2]:379, [3]:1004, [4]:739, [5]:1010, [6]:536, [7]:643, [8]:0, [9]:0
I (1298) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:333, [1]:260, [2]:385, [3]:595, [4]:938, [5]:1049, [6]:951, [7]:663, [8]:0, [9]:0
I (1308) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:332, [1]:265, [2]:375, [3]:771, [4]:487, [5]:839, [6]:347, [7]:678, [8]:0, [9]:0
I (1318) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:332, [1]:289, [2]:378, [3]:1007, [4]:887, [5]:342, [6]:323, [7]:652, [8]:0, [9]:0
I (1328) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:342, [1]:264, [2]:388, [3]:370, [4]:829, [5]:348, [6]:852, [7]:665, [8]:0, [9]:0
I (1348) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:333, [1]:259, [2]:380, [3]:952, [4]:385, [5]:356, [6]:777, [7]:667, [8]:0, [9]:0
